,지역,년,주,주 평균 일교차(°C),전날 대비 최고 기온 상승 최대 변화(°C),전날 대비 최저 기온 하강 최대 변화(°C),주평균 최대 풍속(m/s),주평균 평균 풍속(m/s),SO2_최대값,CO_최대값,O3_최대값,NO2_최대값,PM10_최대값,PM25_최대값,풍향(N~NE),풍향(NE~E),풍향(E~SE),풍향(SE~S),풍향(S~SW),풍향(SW~W),풍향(W~NW),풍향(NW~N),환자 수,100만명 당 환자수,주 평균 기온(°C) 5도 미만,주 평균 기온(°C) 5도 이상 10도 미만,주 평균 기온(°C) 10도 이상 15도 미만,주 평균 기온(°C) 15도 이상 20도 미만,주 평균 기온(°C) 20도 이상 25도 미만,주 평균 기온(°C) 25도 이상,상대습도 (건조),상대습도 (적정),상대습도 (습함)
0,광주,2020,2,6.971428571428572,8.899999999999999,6.4,10.0,1.7571428571428573,0.009,2.0,0.048,0.05728571428571429,87.0,56.857142857142854,1,3,0,0,0,2,0,1,26.0,17.930267809238504,0,1,0,0,0,0,0,1,0
1,대구,2020,2,8.385714285714286,12.7,4.3,8.6,2.414285714285714,0.009,1.4428571428571428,0.04528571428571428,0.054285714285714284,98.28571428571429,71.42857142857143,0,0,1,0,0,1,5,0,56.0,23.15632254441672,1,0,0,0,0,0,0,1,0
2,대전,2020,2,8.442857142857143,9.2,5.5,5.2,1.4142857142857144,0.004571428571428572,1.1714285714285713,0.03514285714285714,0.04128571428571428,72.85714285714286,56.142857142857146,0,2,0,2,0,3,0,0,45.0,30.74018261034701,1,0,0,0,0,0,0,1,0
3,부산,2020,2,8.085714285714285,8.7,3.5,15.9,3.7285714285714286,0.010714285714285714,1.6714285714285713,0.04814285714285714,0.06928571428571428,110.85714285714286,77.71428571428571,0,1,0,0,0,2,3,1,66.0,19.457856935222434,0,1,0,0,0,0,0,1,0
4,서울,2020,2,6.171428571428572,3.1000000000000005,3.8000000000000003,6.3,2.642857142857143,0.014142857142857143,1.5571428571428572,0.04971428571428571,0.060142857142857144,94.57142857142857,69.14285714285714,0,2,0,0,0,1,1,3,258.0,26.684690899744687,1,0,0,0,0,0,0,1,0
5,울산,2020,2,9.057142857142855,10.2,6.0,6.4,2.357142857142857,0.034428571428571426,1.542857142857143,0.046142857142857145,0.05128571428571428,98.85714285714286,56.42857142857143,0,0,0,1,0,1,2,3,25.0,22.00671292771147,0,1,0,0,0,0,0,1,0
6,인천,2020,2,4.942857142857143,2.966666666666667,3.1,8.3,3.4285714285714284,0.013571428571428571,1.4142857142857144,0.04214285714285714,0.06514285714285714,88.28571428571429,64.14285714285714,1,2,0,0,0,0,0,4,72.0,24.466261704727565,1,0,0,0,0,0,0,1,0
7,광주,2020,3,7.6000000000000005,2.5999999999999996,1.7,4.5,1.4142857142857144,0.014714285714285716,1.5,0.049571428571428565,0.06242857142857143,96.57142857142857,70.57142857142857,1,4,0,0,0,0,0,2,32.0,22.068021919062772,1,0,0,0,0,0,0,1,0
8,대구,2020,3,9.257142857142856,2.0,2.6,7.2,2.1714285714285713,0.008571428571428572,1.2714285714285716,0.04357142857142857,0.061714285714285715,87.85714285714286,55.0,0,0,0,0,0,2,5,0,58.0,23.983334063860177,1,0,0,0,0,0,0,1,0
9,대전,2020,3,9.257142857142856,2.0,2.0,4.7,1.157142857142857,0.006714285714285714,1.1285714285714286,0.036571428571428574,0.047142857142857146,78.42857142857143,58.142857142857146,0,0,0,0,0,6,0,1,44.0,30.057067441228188,1,0,0,0,0,0,0,1,0
