,발생년,발생년월일시,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_2당_대분류,발생위치X_UTMK,발생위치Y_UTMK,경도,위도,발생월,발생일,발생시
23193,2017,2017-01-01 2:00,야간,일,1,1,0,0,0,서울,송파구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,967570,1944450,127.133107,37.49874052,1,1,2
23194,2017,2017-01-01 4:00,야간,일,1,1,0,0,0,서울,금천구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,946778,1941695,126.8980936,37.47294629,1,1,4
23202,2017,2017-01-02 4:00,야간,월,1,1,0,0,0,서울,은평구,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로내,승용차,보행자,948413,1957900,126.915444,37.61909675,1,2,4
23206,2017,2017-01-02 8:00,주간,월,1,1,0,0,0,서울,영등포구,차량단독,전도전복,전도전복,안전운전 의무 불이행,교차로,교차로내,이륜차,없음,946757,1943309,126.8977393,37.48749238,1,2,8
23211,2017,2017-01-02 17:00,주간,월,1,5,0,4,0,서울,금천구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승용차,승합차,947235,1938476,126.9034922,37.44395888,1,2,17
23213,2017,2017-01-02 17:00,주간,월,1,1,0,0,0,서울,광진구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,964223,1950661,127.0949431,37.55460089,1,2,17
23224,2017,2017-01-03 18:00,야간,화,1,1,0,0,0,서울,관악구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,951809,1942583,126.9549303,37.48122622,1,3,18
23231,2017,2017-01-04 9:00,주간,수,1,1,0,0,0,서울,중랑구,차대차,정면충돌,정면충돌,안전운전 의무 불이행,교차로,교차로내,자전거,승용차,963459,1955106,127.0860718,37.5946351,1,4,9
23239,2017,2017-01-05 10:00,주간,목,1,1,0,0,0,서울,광진구,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,961587,1949242,127.0651741,37.54170482,1,5,10
23248,2017,2017-01-06 0:00,야간,금,1,1,0,0,0,서울,성동구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,958083,1949880,127.0254745,37.54730259,1,6,0
23250,2017,2017-01-06 6:00,주간,금,1,1,0,0,0,서울,성북구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,화물차,보행자,959234,1955993,127.0381594,37.60244866,1,6,6
23270,2017,2017-01-08 0:00,야간,일,1,1,0,0,0,서울,영등포구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,이륜차,승용차,947101,1945442,126.9014769,37.50673726,1,8,0
23298,2017,2017-01-10 22:00,야간,화,1,2,0,1,0,서울,양천구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,승합차,945525,1948772,126.8833993,37.53665923,1,10,22
23312,2017,2017-01-12 8:00,주간,목,1,1,0,0,0,서울,송파구,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,자전거,승합차,968349,1944620,127.141916,37.50030167,1,12,8
23317,2017,2017-01-13 6:00,주간,금,1,1,0,0,0,서울,동작구,차대사람,횡단중,횡단중,신호위반,교차로,교차로내,승합차,보행자,949772,1946151,126.9316479,37.51327688,1,13,6
23319,2017,2017-01-13 11:00,주간,금,1,1,0,0,0,서울,서초구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,특수차,보행자,954182,1942122,126.9817981,37.47719185,1,13,11
23339,2017,2017-01-15 9:00,주간,일,1,1,0,0,0,서울,양천구,차대사람,횡단중,횡단중,신호위반,단일로,기타단일로,승용차,보행자,943719,1949882,126.8628733,37.5465552,1,15,9
